97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,
113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,
129,65,66,65,66,65,66,65,66,65,66,66,66,65,66,65,66,65,66,65,66,66,65,66,65,66,65,66,65,66,65,66,65,66,65,66,65,66,65,66,65,66,65,66,65,66,65,66,65,129,
145,65,14,177,133,134,135,136,177,177,59,60,59,60,107,108,133,134,135,136,65,14,65,65,177,107,108,66,65,65,177,59,60,66,66,133,134,135,136,3,4,65,66,107,108,177,177,14,66,145,
129,65,65,193,149,150,151,152,193,193,75,76,75,76,123,124,149,150,151,152,66,66,66,66,193,123,124,66,66,66,193,75,76,137,138,149,150,151,152,19,20,66,65,123,124,193,193,66,65,129,
145,66,66,66,165,166,167,168,65,66,91,92,91,92,65,66,165,166,167,168,65,66,66,66,66,65,66,65,66,66,66,91,92,153,154,165,166,167,168,65,66,65,66,65,66,65,37,38,39,145,
129,146,146,146,181,182,183,184,146,146,179,179,179,146,146,146,181,182,183,184,146,146,146,179,179,146,146,146,146,146,146,179,146,169,170,181,182,183,184,146,146,146,146,146,146,179,53,54,55,129,
145,46,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,69,70,71,145,
129,179,130,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,85,86,87,129,
145,146,216,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,146,145,
129,179,232,233,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,180,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,180,130,130,30,129,
145,146,248,249,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,180,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,130,219,146,145,
129,146,130,130,130,130,130,130,130,130,180,180,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,234,235,179,129,
145,46,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,250,251,179,145,
129,179,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,146,129,
145,179,130,130,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,146,145,
129,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,180,130,130,130,130,130,130,146,129,
145,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,180,130,130,130,130,130,130,146,145,
129,33,66,33,33,33,33,66,33,33,66,33,33,66,33,33,66,33,33,66,66,33,66,33,33,66,33,33,66,33,33,66,33,33,66,33,33,66,33,33,66,130,130,130,130,130,130,130,146,129,
145,8,9,10,33,107,108,59,60,33,33,14,33,33,107,108,59,60,33,33,14,33,33,59,60,107,108,33,14,66,33,33,66,33,14,59,60,107,108,33,33,146,130,130,130,130,130,130,30,145,
129,24,25,26,66,123,124,75,76,66,33,66,137,138,123,124,75,76,66,33,33,66,33,75,76,123,124,66,33,66,137,138,66,66,33,75,76,123,124,66,33,146,130,130,130,130,130,130,146,129,
145,40,41,42,66,65,66,91,92,66,66,65,153,154,65,66,91,92,66,66,66,66,66,91,92,66,65,66,66,65,153,154,65,66,66,91,92,66,65,66,66,146,130,130,130,130,130,130,146,145,
129,56,57,58,146,146,146,179,146,146,146,146,169,170,146,146,179,179,146,146,146,146,146,179,179,146,146,146,179,146,169,170,146,146,146,179,179,146,146,146,146,146,130,130,130,130,130,130,179,129,
145,72,73,74,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,179,145,
129,88,89,90,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,179,129,
145,179,216,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,179,145,
129,146,232,233,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,146,129,
145,146,248,249,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,30,145,
129,146,130,130,130,180,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,130,130,130,180,180,130,130,130,130,130,130,130,130,130,130,130,130,191,192,130,130,130,130,130,130,146,129,
145,46,130,130,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,180,130,130,130,130,130,130,207,208,191,192,180,130,130,130,146,145,
129,146,130,130,130,130,130,130,130,130,130,130,130,130,130,180,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,146,146,207,208,180,130,130,130,146,129,
145,146,130,130,130,130,130,130,130,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,97,98,145,
